
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-0.0665283μm	74.4579μm	1057.42μm

theta = -0.143479	 SumSqErr = 1555.8
theta = -0.143379	 SumSqErr = 1553.63
theta = -0.143279	 SumSqErr = 1551.48
theta = -0.143179	 SumSqErr = 1549.32
theta = -0.143079	 SumSqErr = 1547.16
theta = -0.142979	 SumSqErr = 1545.01
theta = -0.142879	 SumSqErr = 1542.85
theta = -0.142779	 SumSqErr = 1540.7
theta = -0.142679	 SumSqErr = 1538.56
theta = -0.142579	 SumSqErr = 1536.41
theta = -0.142479	 SumSqErr = 1534.26
theta = -0.142379	 SumSqErr = 1532.11
theta = -0.142279	 SumSqErr = 1529.97
theta = -0.142179	 SumSqErr = 1527.83
theta = -0.142079	 SumSqErr = 1525.69
theta = -0.141979	 SumSqErr = 1523.55
theta = -0.141879	 SumSqErr = 1521.41
theta = -0.141779	 SumSqErr = 1519.27
theta = -0.141679	 SumSqErr = 1517.14
theta = -0.141579	 SumSqErr = 1515.01
theta = -0.141479	 SumSqErr = 1512.87
theta = -0.141379	 SumSqErr = 1510.74
theta = -0.141279	 SumSqErr = 1508.62
theta = -0.141179	 SumSqErr = 1506.49
theta = -0.141079	 SumSqErr = 1504.36
theta = -0.140979	 SumSqErr = 1502.24
theta = -0.140879	 SumSqErr = 1500.12
theta = -0.140779	 SumSqErr = 1498
theta = -0.140679	 SumSqErr = 1495.88
theta = -0.140579	 SumSqErr = 1493.76
theta = -0.140479	 SumSqErr = 1491.64
theta = -0.140379	 SumSqErr = 1489.52
theta = -0.140279	 SumSqErr = 1487.41
theta = -0.140179	 SumSqErr = 1485.3
theta = -0.140079	 SumSqErr = 1483.19
theta = -0.139979	 SumSqErr = 1481.08
theta = -0.139879	 SumSqErr = 1478.97
theta = -0.139779	 SumSqErr = 1476.87
theta = -0.139679	 SumSqErr = 1474.76
theta = -0.139579	 SumSqErr = 1472.66
theta = -0.139479	 SumSqErr = 1470.56
theta = -0.139379	 SumSqErr = 1468.45
theta = -0.139279	 SumSqErr = 1466.36
theta = -0.139179	 SumSqErr = 1464.26
theta = -0.139079	 SumSqErr = 1462.16
theta = -0.138979	 SumSqErr = 1460.07
theta = -0.138879	 SumSqErr = 1457.98
theta = -0.138779	 SumSqErr = 1455.88
theta = -0.138679	 SumSqErr = 1453.8
theta = -0.138579	 SumSqErr = 1451.71
theta = -0.138479	 SumSqErr = 1449.62
theta = -0.138379	 SumSqErr = 1447.53
theta = -0.138279	 SumSqErr = 1445.45
theta = -0.138179	 SumSqErr = 1443.37
theta = -0.138079	 SumSqErr = 1441.29
theta = -0.137979	 SumSqErr = 1439.21
theta = -0.137879	 SumSqErr = 1437.13
theta = -0.137779	 SumSqErr = 1435.05
theta = -0.137679	 SumSqErr = 1432.98
theta = -0.137579	 SumSqErr = 1430.91
theta = -0.137479	 SumSqErr = 1428.83
theta = -0.137379	 SumSqErr = 1426.76
theta = -0.137279	 SumSqErr = 1424.69
theta = -0.137179	 SumSqErr = 1422.63
theta = -0.137079	 SumSqErr = 1420.56
theta = -0.136979	 SumSqErr = 1418.5
theta = -0.136879	 SumSqErr = 1416.43
theta = -0.136779	 SumSqErr = 1414.37
theta = -0.136679	 SumSqErr = 1412.31
theta = -0.136579	 SumSqErr = 1410.25
theta = -0.136479	 SumSqErr = 1408.2
theta = -0.136379	 SumSqErr = 1406.14
theta = -0.136279	 SumSqErr = 1404.09
theta = -0.136179	 SumSqErr = 1402.03
theta = -0.136079	 SumSqErr = 1399.98
theta = -0.135979	 SumSqErr = 1397.93
theta = -0.135879	 SumSqErr = 1395.89
theta = -0.135779	 SumSqErr = 1393.84
theta = -0.135679	 SumSqErr = 1391.79
theta = -0.135579	 SumSqErr = 1389.75
theta = -0.135479	 SumSqErr = 1387.71
theta = -0.135379	 SumSqErr = 1385.67
theta = -0.135279	 SumSqErr = 1383.63
theta = -0.135179	 SumSqErr = 1381.59
