482.2878000329	280.2982999979	119.3262862431
482.2814000329	280.0975999979	119.3263752168
482.0801000329	280.0998999979	119.3270641289
482.0815000329	280.2980999979	119.3271297311
480.7320000329	156.2074999979	119.3232320411
480.7254000329	156.0063999979	119.3243240419
480.5208000329	156.0052999979	119.3237904906
480.5203000329	156.2092999979	119.3238142293
421.9335000329	156.9491999979	119.3805526125
421.9311000329	156.7469999979	119.3804235467
421.7276000329	156.7412999979	119.3806317576
421.7290000329	156.9475999979	119.3798963293
423.4907000329	281.0358999979	119.4380156233
423.4916000329	280.8310999979	119.4380670435
423.2864000329	280.8274999979	119.4379662724
423.2844000329	281.0350999979	119.4375541645

