482.2875000329	280.2965999979	119.3237436547
482.2828000329	280.0941999979	119.3244120546
482.0801000329	280.0924999979	119.325182732
482.0797000329	280.2965999979	119.3253496722
480.7317000329	156.2070999979	119.324389266
480.7272000329	156.0041999979	119.3249844197
480.5226000329	156.0064999979	119.3260461115
480.5221000329	156.2100999979	119.3250616719
421.9333000329	156.9475999979	119.3808126256
421.9344000329	156.7472999979	119.3803754126
421.7275000329	156.7415999979	119.3807477259
421.7289000329	156.9478999979	119.3814581573
423.4913000329	281.0351999979	119.4376499662
423.4868000329	280.8341999979	119.43730561
423.2875000329	280.8330999979	119.4377965701
423.2854000329	281.0368999979	119.4381237572

