377.9272	424.4756	154.6700449
411.9301	424.8303	154.549096
527.738	425.9903	154.065088
558.9535	424.5445	154.3260762
557.8001	484.8065	141.320069
532.088	485.3104	141.2597317
408.6279	482.9032	142.0481647
377.4287	483.2526	142.0300415
379.03	525.2801	132.9873975
409.5955	525.2534	132.9516452
530.2492	525.9541	132.5356681
558.1857	525.9544	132.4747908
559.0534	564.1753	124.2320618
528.6944	565.7938	123.9615994
409.1107	569.0057	123.5397637
379.5602	565.0028	124.4580425
379.8096	600.4228	116.8226164
402.5334	599.8367	116.9100726
535.5642	599.8265	116.6113648
558.1258	604.0466	115.6803608
559.8777	649.521	105.9003033
408.3294	650.9709	105.8694247
378.0133	651.6227	105.7956034
