
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-272.581μm	11.1182μm	81.593μm


theta = -0.144079	 SumSqErr = 1563.46

theta = -0.143979	 SumSqErr = 1561.3

theta = -0.143879	 SumSqErr = 1559.13

theta = -0.143779	 SumSqErr = 1556.97

theta = -0.143679	 SumSqErr = 1554.81

theta = -0.143579	 SumSqErr = 1552.65

theta = -0.143479	 SumSqErr = 1550.49

theta = -0.143379	 SumSqErr = 1548.34

theta = -0.143279	 SumSqErr = 1546.18

theta = -0.143179	 SumSqErr = 1544.03

theta = -0.143079	 SumSqErr = 1541.88

theta = -0.142979	 SumSqErr = 1539.73

theta = -0.142879	 SumSqErr = 1537.58

theta = -0.142779	 SumSqErr = 1535.43

theta = -0.142679	 SumSqErr = 1533.28

theta = -0.142579	 SumSqErr = 1531.14

theta = -0.142479	 SumSqErr = 1529

theta = -0.142379	 SumSqErr = 1526.85

theta = -0.142279	 SumSqErr = 1524.72

theta = -0.142179	 SumSqErr = 1522.58

theta = -0.142079	 SumSqErr = 1520.44

theta = -0.141979	 SumSqErr = 1518.31

theta = -0.141879	 SumSqErr = 1516.17

theta = -0.141779	 SumSqErr = 1514.04

theta = -0.141679	 SumSqErr = 1511.91

theta = -0.141579	 SumSqErr = 1509.78

theta = -0.141479	 SumSqErr = 1507.65

theta = -0.141379	 SumSqErr = 1505.53

theta = -0.141279	 SumSqErr = 1503.4

theta = -0.141179	 SumSqErr = 1501.28

theta = -0.141079	 SumSqErr = 1499.15

theta = -0.140979	 SumSqErr = 1497.04

theta = -0.140879	 SumSqErr = 1494.92

theta = -0.140779	 SumSqErr = 1492.8

theta = -0.140679	 SumSqErr = 1490.68

theta = -0.140579	 SumSqErr = 1488.57

theta = -0.140479	 SumSqErr = 1486.46

theta = -0.140379	 SumSqErr = 1484.34

theta = -0.140279	 SumSqErr = 1482.23

theta = -0.140179	 SumSqErr = 1480.13

theta = -0.140079	 SumSqErr = 1478.02

theta = -0.139979	 SumSqErr = 1475.91

theta = -0.139879	 SumSqErr = 1473.81

theta = -0.139779	 SumSqErr = 1471.71

theta = -0.139679	 SumSqErr = 1469.6

theta = -0.139579	 SumSqErr = 1467.5

theta = -0.139479	 SumSqErr = 1465.41

theta = -0.139379	 SumSqErr = 1463.31

theta = -0.139279	 SumSqErr = 1461.22

theta = -0.139179	 SumSqErr = 1459.12

theta = -0.139079	 SumSqErr = 1457.03

theta = -0.138979	 SumSqErr = 1454.94

theta = -0.138879	 SumSqErr = 1452.85

theta = -0.138779	 SumSqErr = 1450.76

theta = -0.138679	 SumSqErr = 1448.68

theta = -0.138579	 SumSqErr = 1446.59

theta = -0.138479	 SumSqErr = 1444.51

theta = -0.138379	 SumSqErr = 1442.43

theta = -0.138279	 SumSqErr = 1440.35

theta = -0.138179	 SumSqErr = 1438.27

theta = -0.138079	 SumSqErr = 1436.19

theta = -0.137979	 SumSqErr = 1434.12

theta = -0.137879	 SumSqErr = 1432.05

theta = -0.137779	 SumSqErr = 1429.97

theta = -0.137679	 SumSqErr = 1427.9

theta = -0.137579	 SumSqErr = 1425.83

theta = -0.137479	 SumSqErr = 1423.76

theta = -0.137379	 SumSqErr = 1421.69

theta = -0.137279	 SumSqErr = 1419.63

theta = -0.137179	 SumSqErr = 1417.57

theta = -0.137079	 SumSqErr = 1415.5

theta = -0.136979	 SumSqErr = 1413.44

theta = -0.136879	 SumSqErr = 1411.39

theta = -0.136779	 SumSqErr = 1409.33

theta = -0.136679	 SumSqErr = 1407.27

theta = -0.136579	 SumSqErr = 1405.22

theta = -0.136479	 SumSqErr = 1403.16

theta = -0.136379	 SumSqErr = 1401.11

theta = -0.136279	 SumSqErr = 1399.06

theta = -0.136179	 SumSqErr = 1397.01

theta = -0.136079	 SumSqErr = 1394.97

theta = -0.135979	 SumSqErr = 1392.92

theta = -0.135879	 SumSqErr = 1390.88

theta = -0.135779	 SumSqErr = 1388.84

theta = -0.135679	 SumSqErr = 1386.79

theta = -0.135579	 SumSqErr = 1384.75

theta = -0.135479	 SumSqErr = 1382.72

theta = -0.135379	 SumSqErr = 1380.68

theta = -0.135279	 SumSqErr = 1378.64

theta = -0.135179	 SumSqErr = 1376.61

theta = -0.135079	 SumSqErr = 1374.58

theta = -0.134979	 SumSqErr = 1372.55

theta = -0.134879	 SumSqErr = 1370.52

theta = -0.134779	 SumSqErr = 1368.49

theta = -0.134679	 SumSqErr = 1366.46

theta = -0.134579	 SumSqErr = 1364.44

theta = -0.134479	 SumSqErr = 1362.42

theta = -0.134379	 SumSqErr = 1360.39

theta = -0.134279	 SumSqErr = 1358.37

theta = -0.134179	 SumSqErr = 1356.36

theta = -0.134079	 SumSqErr = 1354.34

theta = -0.133979	 SumSqErr = 1352.32

theta = -0.133879	 SumSqErr = 1350.31

theta = -0.133779	 SumSqErr = 1348.29

theta = -0.133679	 SumSqErr = 1346.28

theta = -0.133579	 SumSqErr = 1344.28

theta = -0.133479	 SumSqErr = 1342.27

theta = -0.133379	 SumSqErr = 1340.26

theta = -0.133279	 SumSqErr = 1338.25

theta = -0.133179	 SumSqErr = 1336.25

theta = -0.133079	 SumSqErr = 1334.25

theta = -0.132979	 SumSqErr = 1332.25

theta = -0.132879	 SumSqErr = 1330.25

theta = -0.132779	 SumSqErr = 1328.25

theta = -0.132679	 SumSqErr = 1326.25

theta = -0.132579	 SumSqErr = 1324.26

theta = -0.132479	 SumSqErr = 1322.27

theta = -0.132379	 SumSqErr = 1320.27

