523.0518000329	506.2061999979	59.8499540773		P2 	x	571.164
523.0515000329	506.0553999979	59.8506243366			y	212.1
522.8955000329	506.0570999979	59.8520577952			z	59.331
522.8952000329	506.2098999979	59.8510675094				
530.9451000329	380.7964999979	59.81166862				
530.9448000329	380.6486999979	59.8115000065		P1	x	425.167
530.7865000329	380.6489999979	59.8108681092			y	214.3
530.7874000329	380.7965999979	59.8119104789			z	59.51
470.6367000329	381.7088999979	59.9196909365				
470.6371000329	381.5585999979	59.9185538476				
470.4826000329	381.5578999979	59.9177106056				
470.4824000329	381.7083999979	59.9187193691				
482.3191000329	506.8207999979	59.8956554422				
482.3196000329	506.6711999979	59.8958836316				
482.1641000329	506.6713999979	59.8954281743				
482.1637000329	506.8204999979	59.8948373938				
530.1447000329	377.8978999979	60.0139451094				
530.1421000329	377.6946999979	60.0129011193				
529.9427000329	377.6969999979	60.0127894052				
529.9443000329	377.8970999979	60.0132378244				
528.2972000329	253.8099999979	60.0048221605				
528.2928000329	253.6088999979	60.0056320432				
528.0917000329	253.6130999979	60.0051481649				
528.0931000329	253.8110999979	60.0050521084				
469.5093000329	254.6847999979	60.0550779749				
469.5011000329	254.4838999979	60.0554678053				
469.3001000329	254.4841999979	60.0559928016				
469.3035000329	254.6843999979	60.0548453206				
471.3506000329	378.7696999979	60.0599057519				
471.3504000329	378.5652999979	60.0590161866				
471.1487000329	378.5695999979	60.0592901775				
471.1500000329	378.7692999979	60.0596079554				
528.3042000329	252.9062999979	59.8282633257				
528.2997000329	252.7053999979	59.8293447523				
528.0971000329	252.7056999979	59.8294957663				
528.1004000329	252.9080999979	59.828255741				
526.4555000329	128.8184999979	59.7968228767				
526.4511000329	128.6190999979	59.7969775869				
526.2531000329	128.6212999979	59.7966563089				
526.2505000329	128.8214999979	59.7966073636				
467.6630000329	129.6919999979	59.8228248595				
467.6628000329	129.4912999979	59.8232466345				
467.4587000329	129.4934999979	59.822845092				
467.4641000329	129.6938999979	59.8231689699				
469.5069000329	253.7774999979	59.8334970774				
469.5067000329	253.5752999979	59.8327508183				
469.3041000329	253.5813999979	59.8333743217				
469.3057000329	253.7776999979	59.8345466958				
